"Log entries will be stored in var/log/resursbank_*.log (different log files are used for various operations).","Logdata sparas i var/log/resursbank_*.log (separata filer används för olika händelsetyper)."
"Callback registration","Registrera callbacks"
"Test callback has not been triggered yet. Try triggering it using the button above.","Test callback:en har ej triggats. Försök trigga den med knappen ovan."
"Test callback was triggered at %1 but has not yet been received. Try reloading the page.","Test callback:en blev triggad %1 men har inte tagits emot än. Prova att ladda om sidan"
"Could not retrieve timestamp from database.","Kunde inte hämta datum från databasen."
"Test last triggered at","Senaste test efterfrågades"
"Test last received at","Senaste test mottogs"
"Perform test","Utför test"
"Callback Settings","Callbacks",
"Callbacks are handled by cron, please ensure that cron is active.","Callbacks hanteras av cron, vänligen säkerställ att cron är aktivt."
"Update","Uppdatera"
"Failed to capture payment.","Debitering av betalning misslyckades."
"Failed to cancel payment.","Annullering av betalning misslyckades."
"Failed to refund payment.","Kreditering av betalning misslyckades."
"Payment","Betalning"
"Missing payment data.","Data saknas för betalningen."
"Order Management","Orderhantering"
"Order management","Orderhantering"
"Payment not ready for capture.","Betalningen är inte redo för debitering."
"Payment not ready for credit.","Betalningen är inte redo att krediteras."
"Refund Fee","Krediteringsavgift"
"Automatically create invoices","Skapa fakturor automatiskt"
"Automatically create invoice for direct payment methods. Swish and Trustly.","Skapa automatiskt faktura för direktbetalningsbetalmetoder. Swish och Trustly."
